E-vec,E-val,cumulative,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
PCA0,0.42484504379679044,0.30627926955661366,-0.27791032704284424,0.28519815310500896,-0.27150696198416224,0.08284706881898389,0.03175555542720122,-0.26460433865484956,-0.2870260302763109,-0.1566607749901521,-0.11369847899789548,-0.11951004746475759,-0.10517527421379128,-0.2525448276645943,-0.17946714536318994,-0.1748007716367813,-0.05654133599525927,-0.2150377174652377,0.2372784359084864,0.1872845336448611,-2.527510856785778e-05,-0.041292611685431316,-0.022961729149123485,0.08721875619171005,0.06661936509888114,0.0813588438455283,0.08941203898892844,0.09266245844039561,-0.20464994762334388,-0.17217461745284693,0.09022355198661933,-0.10259386716774951,-0.26880048479207674,-0.2379817167353616,0.08365325948229602,-0.09873791955402361,0.010183175956770714,0.061629453301468094,-0.007842267296839546
PCA1,0.15247165924620265,0.4161991311717314,-0.03633600861294719,0.013839912115578279,-0.027748360996149246,-0.054031315324766724,0.0890799673062915,0.09280542892835845,0.035326181277868816,-0.026590762542115676,-0.0008184078732083391,0.02042567037195511,0.13591400366701692,-0.046651365716031755,0.062417852416208765,0.14681267394770475,0.2127861340107335,-0.042076468637433834,0.015909632353950376,0.07370863072594963,0.21711990406261622,0.314316068422359,0.26858093044942677,0.42317963662090463,0.4256976230817557,0.07148448006512143,0.029863955602653897,0.046398764694840625,-0.17668292996299256,0.15583101466724142,-0.14323295608472794,0.24258332225065396,0.03316608400826058,-0.07703291254558794,0.1736947218941867,0.26074230244372215,-0.0025955997478994165,0.16726372723563276,0.14994009320764964
PCA2,0.08743294215035952,0.4792312838306818,0.06405137378671413,-0.0864019406032861,0.0010403971238810983,0.034623586402816146,-0.25709449852656957,-0.07329704541817596,-0.047222247044566915,-0.0439926184026585,0.022709832883812123,-0.0016600064512924222,0.17244905969499513,-0.03867449818822398,0.1656494029567539,0.0064210364269588465,0.1218806594967858,0.11966573937457384,-0.14335971433018196,0.04645303259680899,-0.33286829054441197,0.04485975755731657,-0.39044168185617767,0.28296157452120324,0.27596885702972057,0.03473208279384193,-0.3023420421536674,-0.2460702069209383,-0.08829132226507698,-0.30308715956136534,0.1519646885728365,-0.018635955734752713,-0.017993198124116136,-0.11734803952890036,-0.035607936484525836,0.028082283319645157,-0.25880840261514937,-0.10441312913600057,-0.09324090059283613
PCA3,0.0701683769562071,0.5298170669389337,-0.02409025994672633,0.05293123216664021,0.05329925037947629,0.013661084237465083,-0.10759511184243274,0.02759686706710125,0.06727438365581093,0.06316267997453114,-0.23767315782340726,0.11839539221336505,0.341932272388429,0.002206626682450044,0.2342470511951833,0.07373726645523948,0.035324845827955254,-0.10363600868533715,0.14077594915620478,0.04100318011882645,-0.052789638883064385,-0.022257194372227354,-0.035559560178189016,-0.05400839700037494,-0.08139828771646124,0.7046151540471011,0.010523885277536706,-0.059056849302771636,0.06287495117123795,0.03198464888501573,-0.13604703002940657,-0.28054239557242655,-0.056052649935495774,0.04587241845493321,-0.05350813899853101,-0.011506603699719588,0.22873511263707802,0.061961966779366155,0.10369192305171901
PCA4,0.06303969475631842,0.5752636408014554,0.056184272605828214,-0.05882635888866207,0.07457375021414064,0.029641375768985442,0.005166189337873373,-0.025328334982691998,0.016070773769370682,-0.009706619826422826,0.0033851739934453416,0.052063453295389375,0.2710060286047409,0.04519488688150185,0.15080150604547857,0.08451122909920869,-0.014120565020566467,-0.06037236542442195,0.01443578877280835,-0.044641314037281006,-0.13511486897328653,0.07659119190763433,-0.16257450038155025,0.1416606127429303,0.11672008840766741,-0.41412461016793883,0.3761042153618077,0.20824291744578846,-0.030258067499912826,-0.11404455735755427,0.13201352691517498,-0.20083283041993008,-0.07004981980848703,-0.04219792040333398,-0.010540465424044422,0.010225144194847408,0.586546763014822,-0.08931580764272308,-0.024921922723821294
PCA5,0.054387783986835504,0.6144728795474735,-0.013024749304577426,0.01780222358374271,0.15204691824740088,0.0604687601341473,-0.015628899912597617,0.011783174079038332,0.042052302732528066,0.10947297143073048,0.7013540586321941,0.08308180521214516,0.07140721850052495,0.17810847183102654,-0.05287529594883857,-0.10076248030933763,-0.013194890794063944,-0.21909732301747137,0.18662477638365538,0.11321661002478696,-0.13718169169033906,-0.1510095860719286,-0.020720949494510886,0.0007388812499200294,0.02377978964507324,0.27056011715511685,0.13769262103662966,0.13721279687170124,-0.08629791913902617,-0.08480197187746774,-0.004973507756242133,0.28537544620732874,0.11213646731437536,-0.12982476207892044,0.046805378160128426,-0.03000337590378652,0.02892241873756981,-0.0806474071371927,-0.15696223394320102
PCA6,0.04929354654267477,0.6500095808680774,0.022832765734963387,0.05407967297322281,0.06033629522688262,0.3243347607587369,0.20139801604154278,-0.002084963080969289,0.0265695440928582,-0.08083948993982373,-0.12597845345751751,0.03186357530065557,0.39716768957697046,0.032199490430387875,0.13930143590320984,0.11117069292625291,-0.09624032180729836,-0.08577354878952775,0.10426307411628158,-0.08846757649359023,0.015914787900178324,0.08567824435075941,-0.0199584487626501,-0.059927041549072906,-0.07875629602931722,-0.10347598777396091,0.15508282010993937,0.3908213717767293,-0.02071961860934196,-0.011736281771065837,-0.06945526442198588,-0.04912579087291177,0.01491307884393555,-0.036079634247349356,-0.10559367342334909,-0.009193155403062654,-0.6000511287801225,-0.06682787569951047,-0.08241911536525863
PCA7,0.04380713275041899,0.6815910170083224,-0.16482745024973966,0.1984276843370579,-0.08614770343326594,-0.11557987689992354,-0.33957754545854013,0.0947117327635924,0.06274157103229352,0.15496834105917368,-0.20306318512148355,-0.41037881218783956,0.07899755259435852,-0.11919071741311221,0.10888266618045817,0.008547063862947932,0.21665242539443647,-0.20647345940855116,0.20194979323680087,-0.13119564732546807,-0.2172530713951279,-0.047800650135507716,0.17362715569701725,-0.030536343990494978,-0.08157326878722476,-0.12297343513366035,0.010951681616814549,0.01479933321886863,0.08058299941565446,0.030509710688512742,-0.07796032371864998,0.2391895070764677,0.18983363496357689,0.07365391038920087,0.04016530419473621,0.09593079396477137,0.015912787903765387,-0.3560517818565835,-0.13476217694169407
PCA8,0.04275790006550573,0.7124160403693145,0.03606604735311136,-0.09704140795720373,-0.09548546195510298,0.3222491346779023,-0.39762504813911137,-0.05403838290694428,-0.07567689673948627,0.006744269046128755,0.0756955062378081,-0.3002713884475888,0.1053610953651216,-0.0755406818709956,-0.11992138953615387,-0.045575760667019766,0.12081327625534644,0.18850707542504425,-0.22768221866685434,-0.09008685808722557,0.026928428519075665,-0.040799196972457145,0.07789560904676465,-0.03456870459025289,-0.016938902679510273,0.07906917506081886,0.16240120866158134,0.15391680403710856,-0.005207941217454458,0.0306572948934074,0.007116819292527343,0.13041737488107677,-0.02765428562140679,0.017712890387161145,-0.3565631448335552,0.030054285268830413,0.07961836194268844,0.489543479597055,-0.1043304994952824
PCA9,0.03963362545746049,0.7409887118226683,0.028890892721583076,-0.07064445262104654,0.030501031134962997,-0.1556441421695886,-0.22586003906232172,-0.05130848668473067,-0.015421238418711302,-0.02246140864459214,0.1281321245035618,0.0108076684070079,0.4604109894904049,0.020234228442388473,0.054937342938875755,-0.07469309854521397,0.15164445290412387,0.02829204741469449,-0.04466290031079754,0.3476432488648964,0.1693387449924076,-0.14472543600826682,0.3126625760148183,-0.15110910093607405,-0.10366848055722822,-0.25794580715817716,-0.1404337099484465,-0.1327664845060698,-0.06184033522607247,0.11048263896897621,0.01002371222383713,-0.15296431406839703,-0.1596868575902109,-0.08257640624128657,0.2822421335494456,-0.2745231537965992,-0.07657638915661716,0.08338944203227536,-0.077013420155847
PCA10,0.035051686596143335,0.7662581721215371,-0.09716370181605603,0.12515707377703492,0.013129167977690925,0.21209997706626646,-0.32412533859029485,0.03703697152887304,0.013321352804565555,-0.05858576221670657,0.010052237521097785,0.23237169375536335,0.1428151015550129,0.00015385932564022237,0.05033466485844582,-0.03684571255508892,-0.45948083343626106,-0.19565579965052343,0.16546266382431046,-0.15404013763787533,0.34323250736293576,0.17022105525178957,0.05350002184187388,-0.03416647630068823,-0.03125998222495473,-0.11660577287167537,-0.19620321705935154,-0.25837203992583446,-0.04014679767595367,-0.059676103902407934,0.28332206260040843,0.16456461602064504,0.14729408539756234,0.002776737617291365,-0.11740010682744377,0.08228192406725401,0.09208974534847054,0.018834735282943205,0.08090441219288999
PCA11,0.03327155281764265,0.7902442984581693,0.044570852258979755,-0.05620341985373023,0.09483011122894777,-0.12433959886989929,-0.6129788957061234,-0.030101228400447343,0.06786403315153047,0.025652496631455524,0.01803813687081363,0.09600604562289593,-0.3550978495524143,0.09585808837571537,0.03547518298106633,0.17077362858844394,-0.09220306991220513,0.0012158582167341309,0.05963246577251838,0.0813345409678185,0.13547394555345468,0.02408603788861471,-0.08098318259255466,0.049486116197618966,0.05305659119899202,0.04115650352141073,0.21214455444562288,0.33513496345833205,0.0319897690187895,0.016856698619074573,0.03449216951852713,-0.22754480369204294,-0.10318893726465031,0.04353281377518921,0.24026150092149864,0.08475047954354964,-0.2277953359715476,-0.049902813043420126,0.13671272705362972
PCA12,0.030638929768616638,0.8123325143066208,0.02818876344934574,-0.14394236855856202,-0.04322688477822032,-0.08679532001055161,0.0745711571894883,-0.11303114619650076,-0.11612748987543982,-0.07790695069945511,-0.0038140725371662854,-0.23324100138425058,0.08007331866705969,-0.02991371045553133,-0.06749785094516073,0.41041257989187224,-0.030556550051272162,0.14157182721810624,-0.19530182748861286,0.0925263380900162,0.3118708363042919,0.06940841618751392,0.03547647576481931,-0.07087653440097563,-0.022323700708617014,0.28001437180486516,0.08285694876354777,0.051305747745717736,-0.07293016901909999,0.005207476421773317,0.39145035676326784,0.16291828297228683,-0.030412886459589283,-0.0557267149021756,-0.08080160971548053,-0.1247680786677268,0.06420741687493434,-0.4565804804735885,-0.09050706616103084
PCA13,0.02812385505912478,0.8326075626104557,0.03309620694851681,0.06254487912143511,0.0575545608644568,-0.22779960659799164,0.008004563093477208,-0.1269430146705504,-0.055091725981935256,-0.2884230956909718,0.25686756000325867,-0.17599747447723688,0.010827872829542173,0.06648282139191282,-0.008478956757051353,0.3930682328111487,-0.26386023578979206,-0.07526087050451528,0.11110226962313456,-0.2186969673177505,-0.30008231242546585,-0.10662456654871029,0.3522686393018575,0.09473242019254824,0.07142142547789651,-0.03568629816551295,-0.1228807877823303,-0.09991120226269806,0.02089614284116306,0.06296032844782606,-0.06035575471641227,-0.21066952554292379,-0.20886420482336648,0.03814288657848878,-0.25072230646075483,0.09045747859151565,-0.05110976059802421,0.07123366373515332,0.06068528654082757
PCA14,0.025732603752133737,0.8511587101313458,-0.009291365679529383,0.004419584462924719,-0.03345824137831015,-0.6572025339273521,0.04271240806076471,-0.02329896388418459,-0.03619727265455475,-0.15917099245558627,0.07625214129821391,-0.16068247652271372,0.2013660150426522,-0.07937242000040577,0.1731496992766666,-0.36888715209161616,-0.18361425008580065,0.0607063933758501,-0.008027640457404084,-0.09710063728578625,0.20436294902884963,0.08463015959368603,-0.1983168548186576,0.02896810648820393,-0.047942678265462606,0.06454076965739948,0.103652764105402,0.15747123751133277,0.11124264377131246,-0.16706700909841507,0.0010493497199004845,0.10680317176854934,0.030629808972607635,0.13318224332095283,-0.08543262848694705,0.07835526561925889,-0.08500771879932276,0.15371807080978167,-0.025495531013348206
PCA15,0.023861717875241436,0.8683610986913748,-0.053167400812328486,0.005689577103161389,-0.01751488614698897,0.1668173339009192,0.09737322915230047,0.052981024690286184,0.0930224823144222,0.1718709867096809,0.3133799008929987,-0.2736206544527856,0.06520595248468676,0.01591970472684469,-0.14265170174787584,-0.18545015558478373,0.27640905464220383,-0.07811575299816532,0.12042227663388472,-0.2392528805268171,0.2757769335159671,0.14268295961029998,-0.09940332843609712,0.06503078910800612,0.02132505019873469,0.01728040301716608,-0.10424677832082693,-0.08804635894671466,0.15890493128706026,0.058975724393629275,0.20241718917692514,-0.4018194270211484,-0.25942317420774225,0.19761988879125084,0.030547978347663287,0.20251504689076066,-0.06073698883474013,-0.13166037500962377,0.039720556629666504
